,status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,day_month_year_published,month_year_published,year_published,month_published,time_published,positive_reactions,negative_reactions,hour_published,time_of_day_published,days_of_week,days_of_week(digits),day
0,1,video,2018-04-22 06:00:00,529,512,262,432,92,3,1,1,0,2018-04-22,2018-04,2018,Apr,06:04,527,2,6,Early Morning,Sunday,0,Weekend
1,2,photo,2018-04-21 22:45:00,150,0,0,150,0,0,0,0,0,2018-04-21,2018-04,2018,Apr,22:04,150,0,22,Night,Saturday,6,Weekend
2,3,video,2018-04-21 06:17:00,227,236,57,204,21,1,1,0,0,2018-04-21,2018-04,2018,Apr,06:04,226,1,6,Early Morning,Saturday,6,Weekend
3,4,photo,2018-04-21 02:29:00,111,0,0,111,0,0,0,0,0,2018-04-21,2018-04,2018,Apr,02:04,111,0,2,Late Night,Saturday,6,Weekend
4,5,photo,2018-04-18 03:22:00,213,0,0,204,9,0,0,0,0,2018-04-18,2018-04,2018,Apr,03:04,213,0,3,Late Night,Wednesday,3,Weekday
5,6,photo,2018-04-18 02:14:00,217,6,0,211,5,1,0,0,0,2018-04-18,2018-04,2018,Apr,02:04,217,0,2,Late Night,Wednesday,3,Weekday
6,7,video,2018-04-18 00:24:00,503,614,72,418,70,10,2,0,3,2018-04-18,2018-04,2018,Apr,00:04,498,5,0,Late Night,Wednesday,3,Weekday
7,8,video,2018-04-17 07:42:00,295,453,53,260,32,1,1,0,1,2018-04-17,2018-04,2018,Apr,07:04,293,2,7,Early Morning,Tuesday,2,Weekday
8,9,photo,2018-04-17 03:33:00,203,1,0,198,5,0,0,0,0,2018-04-17,2018-04,2018,Apr,03:04,203,0,3,Late Night,Tuesday,2,Weekday
9,10,photo,2018-04-11 04:53:00,170,9,1,167,3,0,0,0,0,2018-04-11,2018-04,2018,Apr,04:04,170,0,4,Late Night,Wednesday,3,Weekday
10,11,photo,2018-04-10 01:01:00,210,2,3,202,7,1,0,0,0,2018-04-10,2018-04,2018,Apr,01:04,210,0,1,Late Night,Tuesday,2,Weekday
11,12,photo,2018-04-09 02:06:00,222,4,0,213,5,4,0,0,0,2018-04-09,2018-04,2018,Apr,02:04,222,0,2,Late Night,Monday,1,Weekday
12,13,photo,2018-04-08 05:10:00,313,4,2,305,6,2,0,0,0,2018-04-08,2018-04,2018,Apr,05:04,313,0,5,Early Morning,Sunday,0,Weekend
13,14,photo,2018-04-08 02:23:00,209,4,0,200,8,1,0,0,0,2018-04-08,2018-04,2018,Apr,02:04,209,0,2,Late Night,Sunday,0,Weekend
14,15,photo,2018-04-05 09:23:00,346,11,0,335,10,1,0,0,0,2018-04-05,2018-04,2018,Apr,09:04,346,0,9,Morning,Thursday,4,Weekday
15,16,video,2018-04-01 05:16:00,332,100,30,303,23,1,5,0,0,2018-04-01,2018-04,2018,Apr,05:04,327,5,5,Early Morning,Sunday,0,Weekend
16,17,video,2018-03-30 08:28:00,135,256,79,117,18,0,0,0,0,2018-03-30,2018-03,2018,Mar,08:03,135,0,8,Early Morning,Friday,5,Weekday
17,18,video,2018-03-26 08:28:00,150,173,47,132,16,1,0,1,0,2018-03-26,2018-03,2018,Mar,08:03,149,1,8,Early Morning,Monday,1,Weekday
18,19,video,2018-03-23 07:09:00,221,166,36,192,28,0,1,0,0,2018-03-23,2018-03,2018,Mar,07:03,220,1,7,Early Morning,Friday,5,Weekday
19,20,photo,2018-03-22 01:25:00,152,2,0,149,3,0,0,0,0,2018-03-22,2018-03,2018,Mar,01:03,152,0,1,Late Night,Thursday,4,Weekday
20,21,photo,2018-03-21 08:40:00,234,15,1,221,12,1,0,0,0,2018-03-21,2018-03,2018,Mar,08:03,234,0,8,Early Morning,Wednesday,3,Weekday
21,22,photo,2018-03-21 07:46:00,227,7,1,217,7,2,1,0,0,2018-03-21,2018-03,2018,Mar,07:03,226,1,7,Early Morning,Wednesday,3,Weekday
22,23,photo,2018-03-20 01:54:00,98,0,0,96,0,2,0,0,0,2018-03-20,2018-03,2018,Mar,01:03,98,0,1,Late Night,Tuesday,2,Weekday
23,24,video,2018-03-20 01:28:00,18,0,0,18,0,0,0,0,0,2018-03-20,2018-03,2018,Mar,01:03,18,0,1,Late Night,Tuesday,2,Weekday
24,25,photo,2018-03-20 00:15:00,102,0,0,100,0,2,0,0,0,2018-03-20,2018-03,2018,Mar,00:03,102,0,0,Late Night,Tuesday,2,Weekday
25,26,video,2018-03-19 22:34:00,37,0,1,37,0,0,0,0,0,2018-03-19,2018-03,2018,Mar,22:03,37,0,22,Night,Monday,1,Weekday
26,27,video,2018-03-17 08:07:00,75,36,14,70,5,0,0,0,0,2018-03-17,2018-03,2018,Mar,08:03,75,0,8,Early Morning,Saturday,6,Weekend
27,28,video,2018-03-17 07:47:00,90,78,9,85,5,0,0,0,0,2018-03-17,2018-03,2018,Mar,07:03,90,0,7,Early Morning,Saturday,6,Weekend
28,29,photo,2018-03-12 05:51:00,145,9,0,138,7,0,0,0,0,2018-03-12,2018-03,2018,Mar,05:03,145,0,5,Early Morning,Monday,1,Weekday
29,30,video,2018-03-09 07:45:00,253,300,31,229,22,1,1,0,0,2018-03-09,2018-03,2018,Mar,07:03,252,1,7,Early Morning,Friday,5,Weekday
30,31,photo,2018-03-09 05:55:00,85,0,0,81,2,2,0,0,0,2018-03-09,2018-03,2018,Mar,05:03,85,0,5,Early Morning,Friday,5,Weekday
31,32,video,2018-03-07 13:10:00,45,14,0,40,5,0,0,0,0,2018-03-07,2018-03,2018,Mar,13:03,45,0,13,Noon,Wednesday,3,Weekday
32,33,photo,2018-03-07 06:13:00,92,0,0,85,4,2,1,0,0,2018-03-07,2018-03,2018,Mar,06:03,91,1,6,Early Morning,Wednesday,3,Weekday
